id,popularity,explicit,availability,track_number,release_date,num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1QFw2xxyQtgKjlrMCEqsNj,54,False,1,2,2013-01-01,1,0.734,0.809,10,-7.264,0,0.0839,0.0266,0.0,0.0642,0.254,116.024,232147,4
2gYuASHMtye5Y7eIUJzqnX,48,False,79,1,2018-11-09,2,0.606,0.874,6,-4.884,0,0.0271,0.214,0.00587,0.22,0.526,99.998,225187,4
7DWhs53kwWeTfVNwt5wzXB,19,False,3,1,2017-03-17,1,0.607,0.701,6,-8.317,0,0.136,0.0634,5.86e-05,0.104,0.269,86.012,259659,4
6eRPYyh1EPRqDhgb3Nardw,50,False,79,2,2011-12-21,1,0.537,0.596,5,-8.481,0,0.0343,0.276,0.77,0.358,0.109,140.026,375433,4
6tJkq3zUXlEjWluMW9Hdij,48,False,79,12,2019-08-09,1,0.477,0.523,11,-9.213,1,0.141,0.399,0.00044,0.369,0.501,113.196,335067,4
48XkVAagIoQHCsOlJtXUd5,68,False,79,5,2019-08-09,1,0.779,0.516,10,-6.467,0,0.0521,0.148,0.0,0.0492,0.715,120.026,247787,4
2YiqBesMJpszYU6raDOG0R,61,False,79,5,2018-04-18,1,0.551,0.73,7,-7.69,0,0.0274,0.282,0.923,0.148,0.672,126.967,302840,4
7jQhzStt3NoEHRcU7CH9x6,0,False,0,2,2016-10-28,1,0.678,0.714,2,-6.661,1,0.031,0.0823,6.85e-06,0.128,0.738,130.991,202040,4
0UsXVKkvGXcOE1GTZgMNEe,5,False,79,2,2019-02-08,1,0.628,0.609,1,-11.714,0,0.0394,0.0431,0.0118,0.0924,0.543,81.006,223346,4
3wmRmRxdVDiga3lHZfDgO1,14,False,79,1,2018-09-07,1,0.622,0.525,6,-10.255,1,0.0355,0.0173,0.529,0.109,0.385,104.994,218947,4
1eQI12dVlkE9HOuiNB5sRq,38,False,78,7,2019-03-01,1,0.713,0.726,0,-5.193,1,0.442,0.448,0.0,0.108,0.608,187.981,204480,4
2fTXXmPe74Ih491gJ55f0c,50,False,79,2,2019-03-22,1,0.625,0.919,5,-5.207,1,0.036,0.0707,0.0102,0.101,0.381,109.993,237803,4
3QFlpIJd18JNyQbnWQWiph,23,False,79,9,2019-06-07,2,0.641,0.63,10,-8.32,0,0.114,0.282,0.000215,0.446,0.681,171.951,187000,4
4eE4vEaakr3ZnSt1UNfOhz,35,False,78,1,2018-06-29,1,0.638,0.944,2,-9.382,1,0.0351,0.0118,0.787,0.334,0.154,124.004,240000,4
49AUrYH6AwsjfqIvJOiGLL,13,False,79,1,2018-11-03,2,0.734,0.45,0,-10.876,1,0.0452,0.0216,5.49e-06,0.0759,0.321,119.011,282816,4
7KxtOJB8QBHIxQ5SU6EcLk,42,False,79,1,2018-10-05,1,0.616,0.555,9,-7.864,1,0.0353,0.0111,0.0247,0.146,0.113,94.993,191390,4
5uoEaDJsX8aNujkblFPkVT,12,False,5,11,2014-11-24,1,0.579,0.208,11,-8.087,1,0.0259,0.575,0.0,0.0975,0.478,89.948,215120,4
1mpdRO7C19VJdOE7nfltrf,42,False,79,1,2018-03-09,2,0.731,0.628,0,-8.365,0,0.0342,0.177,0.000116,0.0873,0.526,109.993,177547,4
750YUj6lNKIlLWnwF7TxtP,28,False,79,1,2018-07-16,1,0.662,0.794,11,-8.421,0,0.133,0.0798,0.0356,0.234,0.654,116.995,172436,4
1QjKfNGfDuMiVuF8x7cj0R,60,False,79,6,2018-08-31,2,0.788,0.679,1,-7.013,1,0.141,0.088,0.000141,0.118,0.536,119.036,188973,4
6WBcCwfTB0pmtXKcTq5g1X,52,False,77,5,2017-09-15,1,0.77,0.403,5,-9.178,1,0.0299,0.741,0.00102,0.106,0.515,107.531,238307,3
639Tb5Jo1RF0jPkfKZxkzJ,35,False,79,2,2019-05-31,1,0.272,0.4,9,-10.685,1,0.0355,0.0891,1.8e-05,0.0566,0.0461,89.883,253333,4
6CTpcnesbiKz2ZaqaYFnrE,34,False,79,1,2019-06-28,1,0.696,0.727,6,-6.049,0,0.0555,0.0777,7.54e-06,0.105,0.192,115.919,202107,4
1uTfgYieZbJ2qZ2v2ICndT,38,False,79,1,2018-01-26,1,0.871,0.409,11,-11.66,1,0.0905,0.0902,0.701,0.0615,0.074,105.033,202966,4
6UA7nUuBCi26vW6x0NDyfe,50,False,79,2,2019-05-17,1,0.715,0.405,9,-6.08,1,0.0703,0.0117,7.01e-05,0.333,0.419,76.069,205869,4
2VvOAa2Bfu6cIqg2m73Bvw,52,True,79,11,2019-05-17,1,0.56,0.349,6,-10.0,1,0.0916,0.454,0.00033,0.114,0.169,131.881,187663,4
4wEZUvUuCDlhAMwLBdRW3p,32,False,79,13,2016-10-21,1,0.555,0.739,2,-5.179,1,0.0344,0.184,0.0,0.0579,0.339,77.009,329947,4
4a5WbXXNV0ZYycP806lE1X,51,False,79,1,2017-04-14,1,0.472,0.543,10,-7.11,0,0.271,0.461,3.15e-06,0.0802,0.431,149.789,224082,4
3WNJcD4xvnHrt5q5RuzaeW,33,False,79,1,2019-04-28,1,0.493,0.541,5,-8.917,1,0.0531,0.372,0.0415,0.143,0.0932,128.088,267080,4
6HQ6qMr0qm8EgDOVeJAHH8,38,False,77,3,2017-09-15,1,0.724,0.56,7,-8.732,1,0.301,0.201,0.0,0.0987,0.633,173.902,192067,4
4ODnJrz0C3AJ4DFv8YQhJ8,64,False,79,2,2017-11-03,2,0.636,0.6,6,-6.964,1,0.0288,0.211,0.0,0.141,0.476,100.051,214827,4
5uDMz8kBI5cjnJ2Bh61LHl,42,False,77,11,2017-09-15,1,0.618,0.481,5,-9.648,0,0.0479,0.425,0.00013,0.184,0.615,69.994,185800,4
6181ua0Gipcn6AQvPTVIrT,10,False,79,1,2018-10-05,1,0.717,0.549,0,-5.961,0,0.0561,0.11,0.0,0.0917,0.593,98.057,200816,4
71DyNbXRrq8R5KZcJFNIUl,36,False,79,1,2018-05-01,1,0.771,0.56,9,-9.916,0,0.0371,0.0205,0.000259,0.106,0.492,119.966,182000,4
3nVPr3wSy56cc5LeNHJm9K,37,False,8,1,2018-10-19,2,0.719,0.703,5,-4.93,0,0.0392,0.032,1.14e-05,0.0656,0.72,101.984,223000,4
5nnVxAmIrmtFbegqXkgal9,31,False,79,1,2018-06-29,1,0.58,0.686,7,-10.062,1,0.0545,0.421,0.0472,0.112,0.0439,92.966,347867,4
6iaszgkGRQPWtnqwtw01V2,3,False,0,1,2015-09-10,1,0.825,0.619,11,-4.958,0,0.048,0.0625,4.44e-05,0.279,0.615,123.993,238227,4
6QaYlFhs7IAHP14v3UWHWv,41,False,79,5,2017-09-08,2,0.731,0.601,6,-9.182,0,0.0423,0.0933,0.0154,0.106,0.272,99.027,247933,4
784nbDVm5AcpToGS6k3c7c,54,False,79,1,2019-01-28,2,0.552,0.736,2,-6.3,0,0.0746,0.0297,0.0,0.429,0.635,175.797,177273,4
5Oc6vclYTf91a60pZic8kd,27,False,79,1,2018-04-13,2,0.655,0.848,1,-2.048,1,0.0363,0.419,1.68e-05,0.123,0.427,110.062,185455,4
6C5chXTH7JgOrOBUaY30bH,28,False,67,6,2016-08-19,3,0.705,0.681,8,-6.03,1,0.035,0.072,0.0613,0.305,0.727,125.033,221000,4
12uQkdvag3fHXtVzexizlv,41,False,79,2,2018-06-08,1,0.71,0.568,7,-8.512,0,0.156,0.393,1.6e-06,0.0952,0.472,130.053,182880,3
1kiASsoTtebxF1E0g6iSEf,31,False,78,1,2019-04-30,1,0.744,0.9,4,-6.313,0,0.0658,0.0052,0.114,0.787,0.3,102.99,251319,4
6B4yTawy0HPLPOQ5obI5Gt,44,False,79,5,2018-06-08,1,0.848,0.676,7,-8.045,1,0.191,0.272,1.11e-06,0.0542,0.753,114.995,200893,4
5DujgqxeVEHZVGnfEvbVG3,41,False,77,9,2018-08-24,2,0.581,0.709,9,-6.303,1,0.0848,0.0374,0.0,0.522,0.518,84.985,190588,4
0dhZHpEx7loKBRPPGJ7TnN,0,False,0,1,2015-10-23,1,0.713,0.831,6,-5.952,0,0.0284,0.00868,0.000107,0.0756,0.434,100.004,234760,4
56YjHOutYKR9mzl86loPpz,30,False,79,7,2017-03-03,2,0.727,0.868,7,-6.178,0,0.0415,0.0623,0.0158,0.133,0.536,119.998,274901,4
6s2Xvi1vEQszjdc6c5Aewn,43,False,79,1,2016-11-04,1,0.543,0.797,0,-6.426,1,0.0276,0.0146,0.0271,0.115,0.275,100.956,297040,4
2Ti0MXJYUs59drclUgKe17,40,False,79,6,2016-11-04,1,0.635,0.867,11,-4.15,0,0.0619,0.0514,0.000557,0.0697,0.807,180.041,198587,4
5boqkVlc0CWhfTjksnpc1X,9,False,0,2,2018-07-06,1,0.661,0.684,6,-6.611,1,0.0512,0.121,0.00503,0.157,0.371,125.06,199635,4
05iMQqncVBIm4AE26EvaTL,69,False,41,2,2003-11-18,1,0.77,0.585,0,-8.06,1,0.0285,0.3,0.0,0.116,0.912,116.994,193373,4
1TfqLAPs4K3s2rJMoCokcS,80,False,79,6,1983-01-21,1,0.692,0.711,0,-7.498,0,0.0317,0.227,0.0,0.12,0.875,125.135,216933,4
7abHJG1VIsuKh6w58KesRY,43,False,79,1,2018-09-07,1,0.833,0.717,7,-4.551,0,0.0606,0.426,0.0,0.098,0.684,94.019,187355,4
4nGdBFtVLJJO9CDfTatrjh,11,False,1,1,2018-11-23,3,0.618,0.619,7,-9.479,1,0.0296,0.0171,0.283,0.0846,0.133,109.024,222400,4
5dg1IuhKJlqicUOEPJMqOj,33,False,79,1,2017-03-03,1,0.806,0.569,7,-6.573,0,0.0324,0.0502,0.0703,0.0818,0.0863,121.984,319784,4
2oHb51wRxh6UZJoqyd9llM,26,False,79,10,2017-05-19,2,0.671,0.659,7,-7.1,1,0.0364,0.00202,0.801,0.138,0.316,115.005,294653,4
6zOQHnjsgwMMxsuN7zTGRE,0,False,0,1,2018-06-22,2,0.787,0.743,8,-11.977,0,0.0312,0.103,0.043,0.208,0.913,122.986,238846,4
12Gbz1qkaCAFPGlYVVw6xZ,38,False,3,4,2006-11-14,1,0.651,0.77,0,-8.08,0,0.0274,0.081,6.54e-05,0.114,0.738,112.923,253587,4
4jNQkWhuzqrbqQuqanFFJ6,60,False,77,1,2010-04-12,1,0.333,0.114,9,-21.255,1,0.0453,0.906,0.96,0.119,0.0566,141.839,165160,4
1UF0LHvbTWrgVuQOBiAIYP,3,False,0,2,2010-06-30,1,0.302,0.704,7,-6.851,1,0.0384,0.0174,0.00166,0.36,0.3,166.66,308741,4
2bidSVRvAhQYVrr8E6zdyN,35,False,74,7,2014-11-17,1,0.748,0.752,5,-6.835,0,0.0724,0.0189,5.2e-06,0.119,0.746,86.004,256413,4
3tscRPM6BjVapmT8u3cBOZ,30,False,79,1,2019-04-10,2,0.755,0.305,6,-12.461,0,0.0469,0.521,3.65e-05,0.0577,0.34,129.98,258923,4
2zlOCBcS1CCIUkgpz78ahY,41,False,47,4,2015-07-17,1,0.577,0.731,7,-7.028,0,0.0313,0.238,0.884,0.288,0.308,138.251,256809,4
1RRS9H7wTZ0Sgl2FwpKHdP,45,False,79,1,2017-12-01,1,0.462,0.717,5,-6.769,0,0.0272,0.0114,0.502,0.114,0.0779,144.962,168324,4
1mTlYQ5zMEniInmLrHbMkY,24,False,77,6,2014-10-13,1,0.266,0.62,9,-5.531,0,0.0415,0.0211,0.211,0.086,0.0392,179.75,256280,4
3f56kKYqrscMfZaBHlLLHM,43,False,77,4,2011-05-05,1,0.221,0.481,7,-9.104,0,0.0613,0.17,0.121,0.173,0.267,49.429,286827,4
1U8cqMaKrwCS9N6BZyUxr9,32,False,78,12,2015-08-14,1,0.556,0.363,7,-8.731,1,0.0282,0.613,0.000592,0.102,0.16,139.921,231453,4
5oR6I8LHY77Zu6HkVOwAa1,1,False,0,1,2018-03-09,1,0.677,0.872,0,-3.832,0,0.0372,0.0713,0.136,0.0855,0.857,100.033,230558,4
0RKTuuMsapZAgeNPApGrlE,24,False,79,1,2018-08-03,1,0.709,0.556,6,-7.595,0,0.0442,0.0627,0.0114,0.0886,0.315,102.053,169418,4
66Dsk9as7c39WNUdOOES9r,32,False,1,8,2016-03-18,1,0.497,0.712,0,-7.287,1,0.0913,0.112,0.0247,0.187,0.596,82.303,210653,4
4ntwqHpcvGYPfE8kESEAtz,29,False,2,4,2016-03-25,1,0.778,0.751,3,-6.812,1,0.0434,0.124,0.428,0.0733,0.964,139.979,288200,4
2yOsDXGw9QfECnCnlEJUFO,48,False,79,1,2017-05-12,1,0.788,0.482,4,-6.292,1,0.0298,0.167,2.92e-05,0.183,0.523,95.968,196347,3
2xw9PXlt8IaCWZjfpJ2HPL,60,False,78,1,2018-06-22,2,0.716,0.628,5,-6.231,0,0.0473,0.0212,0.0,0.0617,0.688,97.012,195261,4
3lGMtkONrZdJ8kTCg6KIFf,69,False,79,1,2015-11-13,1,0.585,0.643,3,-8.392,1,0.0395,0.201,0.000306,0.144,0.592,152.98,221800,3
2yox08l4o0FnOL8Ih4yEfM,62,False,79,1,2016-02-27,1,0.629,0.882,0,-3.458,0,0.0312,0.167,0.711,0.0693,0.324,123.973,181935,4
0tASpFk6Jw4pzZEQKoVw4Q,17,False,1,1,2008-09-30,1,0.623,0.392,11,-8.732,1,0.0262,0.602,0.578,0.0892,0.502,95.475,223310,4
6VU94m3VSXcn6CPWhojYoT,9,False,79,1,2019-02-15,2,0.793,0.628,2,-6.513,0,0.0399,0.0161,0.000185,0.142,0.234,120.022,211075,4
1l7Af2MG6UL8o618faV7fS,55,False,79,1,2018-01-30,1,0.588,0.908,9,-5.759,0,0.0394,0.0787,0.155,0.351,0.707,100.016,271262,4
0AKNWA4m7jhh4SdZxKMC0R,57,False,78,1,2019-02-15,2,0.664,0.728,11,-6.085,0,0.0319,0.703,0.252,0.0957,0.268,124.937,192000,4
0R75OBkGbSC6NNvPZ4u9dJ,32,False,79,1,2018-08-18,2,0.845,0.642,1,-6.604,0,0.0498,0.0427,0.0,0.0851,0.864,105.023,182598,4
3uU6dqBjVKRTPis0RrTaT4,65,False,79,8,2005-06-03,1,0.728,0.731,2,-7.075,0,0.0347,0.0331,0.351,0.0888,0.602,130.032,220667,4
7flNdUykV5LYDRv8wQDbsx,52,False,79,1,2018-05-31,1,0.558,0.851,9,-4.12,0,0.242,0.484,0.00787,0.31,0.704,126.399,195533,5
0jGTmc9Z4yczeLzLVaIJgp,39,False,78,2,2014-11-04,1,0.525,0.462,9,-8.668,0,0.127,0.176,0.000755,0.337,0.486,119.922,228640,5
2mjtgiRzdsQj0dqC53SZD0,44,False,66,1,2018-10-25,2,0.727,0.813,6,-5.88,0,0.0387,0.155,0.0454,0.279,0.365,124.029,183436,4
2ZKOM0Rjap2QhAugw63uGS,0,False,0,1,2018-05-11,1,0.725,0.712,5,-9.05,0,0.037,0.432,0.0438,0.172,0.306,121.981,197705,4
4tgnYw4vRdHTOvIajuiEwI,35,False,78,1,2018-12-14,1,0.739,0.451,11,-7.597,0,0.0343,0.0326,0.00109,0.38,0.458,110.029,263182,4
7ylOCfpjsuxM6w7W7b3W91,57,False,79,8,2017-11-03,2,0.68,0.513,4,-9.914,0,0.0365,0.483,7.05e-05,0.0975,0.272,106.953,228707,4
1I8tHoNBFTuoJAlh4hfVVE,76,False,78,5,2016-05-13,2,0.486,0.652,11,-7.226,0,0.052,0.408,6.63e-05,0.077,0.391,113.055,273684,4
1SVm64B4Ry7dqFSxHY8e65,67,False,3,1,1996-01-01,1,0.693,0.804,5,-11.632,1,0.027,0.0741,0.00156,0.124,0.829,104.531,236160,4
